test1,test2
79829,98743
110478,82089
107604,110766
52320,2259
9532,46893
42920,95252
82311,43993
75376,106823
57805,80681
95395,42834
106377,63318
59164,27483
90022,71399
82752,17426
23756,87934
88448,100057
59762,73150
51681,27480
81157,5918
9406,2581
41313,54343
28800,41097
12406,14342
53412,18838
86688,45500
58768,79535
72749,35392
63849,20991
50996,16644
4613,45994
16833,101657
101238,32238
52411,97872
68241,64857
73271,56461
6376,88662
69768,30983
22532,41630
82862,51596
26174,3902
34688,105155
76733,105224
27046,29583
95523,99440
102560,108541
16631,48269
20583,39579
75841,82165
98927,24228
110469,2288
36030,83686
98050,91968
37160,83033
76266,58096
94771,20974
81049,111355
19333,31632
61185,82309
86520,97566
51369,90880
39924,40521
103676,32439
46459,10381
30631,31169
99810,37652
32419,39451
45069,44734
479,81545
66775,19121
2682,108702
18294,13065
97087,18799
83678,33386
65619,65627
41260,47625
107532,34077
32419,51353
44976,15487
86309,24675
24010,18393
32024,107322
16110,106698
35232,75258
46086,79485
92922,66766
89507,86180
91050,30666
16479,69258
68797,35960
24849,102622
79877,3301
68282,47472
71447,20467
37445,26175
11273,45288
104984,99669
33283,78360
93471,48869
40776,56956
9164,82685
54212,89823
21737,108420
88009,21829
86364,16233
32190,45371
78311,9915
99962,86870
6472,78007
48087,51000
22969,88310
107291,58484
5049,40984
93965,23356
52546,25878
85434,76505
72372,103187
81197,11677
26008,32268
67388,68298
8138,102400
14098,52223
74099,49895
33898,12972
32116,6434
50643,112570
39767,81487
22959,43597
39419,12935
13364,24761
109451,76968
104644,62918
56728,63729
17213,75498
73027,21637
91944,47184
52049,62434
23026,71929
94969,23418
56944,88283
22592,22594
38057,61935
98780,36279
40830,79556
75656,91174
51184,66257
111870,9938
68409,52213
23993,24548
83957,24761
30182,108839
43280,29271
74002,21136
24564,87297
62338,84436
20983,103601
59251,24319
9937,82589
6795,68231
79043,29704
75141,69904
107055,45545
8798,99841
112733,94198
10465,85820
65330,811
4199,1635
40357,34584
50655,52201
61976,37050
41501,42298
1277,52970
68770,98785
76165,91518
96122,44581
104139,59051
2682,39020
35959,50101
3920,68744
11724,16822
95023,34313
6869,91662
55731,55729
82457,39286
49388,51861
112911,44873
104179,23662
27551,3083
107647,52415
50949,50950
69681,64819
82003,112041
5792,2887
8839,8836
44758,3789
96346,70401
86716,95096
111445,95575
37263,17985
37741,77966
51641,90692
29497,96419
77980,82541
76508,11
67979,94374
22869,87757
76069,43039
19121,16928
44924,78671
19907,100889
94054,108353
70362,64054
11273,107934
70813,48011
72084,73205
90530,86088
31643,5854
72601,86868
26752,74703
15935,22468
25723,97787
1313,28606
11447,21993
4077,110435
78281,35170
94253,54020
86745,42927
86357,68682
45904,5181
107291,91828
102817,42678
68496,79838
87953,62808
55844,98372
73330,2004
61468,49395
18521,90661
75306,113039
85542,58486
35652,92265
102060,27944
28174,111155
90698,91838
35963,102575
57311,44655
18281,110442
5489,113027
84513,113306
52588,95862
44447,17155
45284,66122
97772,46130
110628,63653
98420,30474
9405,69814
95567,95326
97866,58335
75984,27040
7391,91381
91277,23852
33803,80097
56413,105401
91168,56131
43833,30920
76925,12248
100236,104930
101994,94339
7609,72533
90694,56751
22203,2441
94991,38476
41420,77444
74845,9821
27890,69742
7780,44261
3836,3839
98868,39961
44455,10066
52223,6481
66786,82927
27607,60389
9312,107641
112942,27141
102689,98707
81848,6506
110430,108848
62297,110220
41914,38906
710,2452
2600,15011
86576,6434
73295,61837
51149,84638
65713,10371
83463,65102
98994,40223
87989,14911
49039,64852
106529,40550
48125,77694
43864,449
67105,74612
34853,14911
55906,73252
59249,87231
66486,66484
6851,96517
74129,87460
37337,56953
97194,92032
12108,41534
36901,82825
99691,64414
91955,38540
42625,5842
92349,40985
2315,96376
23304,30145
90024,48684
65810,69803
17295,7258
37365,99215
39419,84127
687,81417
109740,33764
55213,49503
88703,64257
31067,72058
60530,70119
83590,101936
96507,73045
88614,92365
21769,8464
43287,51440
47635,47634
51676,74338
93514,91987
54622,54630
49983,109505
48419,56294
38647,5497
105741,111647
37046,41316
57759,57573
11388,93391
24412,23658
17401,42325
71834,14235
41717,93878
3627,21511
43723,43725
40436,45265
61788,107093
10515,32624
10940,2583
73676,35149
100104,1742
14221,44608
70735,10381
93277,108060
41273,5025
73758,23966
3147,74291
100179,71922
6772,72919
81782,75811
52244,20726
25708,87376
63284,63303
88323,8272
46697,16619
6008,42031
91482,106615
76926,56406
34457,68882
104697,39419
413,2864
76275,53577
76115,67313
88696,15706
66413,14835
9823,24956
96332,80650
66655,23196
71213,19646
55424,44592
4327,74129
84628,35832
38980,42272
107208,88951
2424,26175
28187,401
1776,113218
19334,99044
104254,16077
84008,21639
30922,28214
34301,51319
36064,36063
28699,28706
82146,10679
92752,25459
71950,93679
37361,88237
47261,47927
93839,90452
35110,83228
29724,6063
74510,65703
1742,15482
68628,90060
63655,85322
88965,73687
6295,97715
4729,17296
61730,53769
16111,44682
45802,81247
44769,82716
73303,1766
12486,12443
112001,83225
41717,5114
24529,91016
25282,9216
13405,12311
21872,100684
107799,57541
100677,55209
13874,6330
94669,108369
73285,30585
65634,93086
12175,4860
20870,85903
76906,17092
18542,13355
44162,15647
60826,67387
64367,64368
74298,21072
32171,25520
18564,80001
22154,15011
17381,59884
101553,107807
15903,81741
23518,47324
102247,20626
43046,108183
2718,3485
70884,108395
69449,50274
67521,67539
76070,110072
98746,69800
56314,37980
73727,7604
35843,81452
35691,88336
107686,112733
44749,74612
55740,101371
66099,89566
44376,44378
35548,25237
8613,13567
9302,19511
6459,88811
58019,60571
75699,84009
27199,95702
112163,97642
107563,21699
61905,106644
16670,54019
87667,39673
37028,34475
84278,89993
106652,20342
83561,59481
28289,65663
1642,1639
41615,41640
54977,106317
30525,2009
111772,27297
58042,93109
86965,3921
12479,111855
39714,43191
22627,30027
109866,66559
35592,58566
56604,28495
28719,27509
30029,65172
73027,14823
107291,75114
56147,2599
15731,37594
52902,21263
113465,55238
31214,30979
81988,103825
33077,62961
21401,12322
75268,79767
112642,24421
91899,12346
80380,44499
90508,63830
19621,49800
76748,41579
106588,4142
73948,6494
82706,73715
3894,100966
40115,38194
26594,16077
75205,2814
67870,51420
2726,85420
66782,66785
47404,24800
51116,78980
47742,47722
35673,106447
46709,2925
111103,55509
61195,103410
29800,21771
64536,64541
53746,59167
75585,76386
17944,79661
30323,67793
50906,19942
112088,31519
51525,17583
53307,19121
64552,84990
78897,49922
16740,5731
47343,28010
92789,47648
88895,1692
65864,10044
99720,14183
106785,77614
97526,74134
32967,10335
57738,8522
30042,109786
60622,13709
86745,112730
24269,29602
42366,18152
20947,49917
3346,103015
84443,30667
85271,34511
37978,56093
1011,54113
18160,36442
101858,71462
57576,70733
18104,84448
51810,72423
48457,77619
31641,32796
84372,17430
20641,761
30625,60648
19629,19621
11881,11880
14201,14204
74627,67930
80991,21516
103122,30188
25210,100707
41013,20619
33599,60834
85430,4780
9823,59081
83739,99623
3414,27203
42199,41853
102585,63931
90065,41270
25588,25560
9302,39632
16523,59230
13086,99533
70645,87966
1705,19677
95843,37937
46472,69385
68496,61749
76293,100479
90027,16479
74311,25413
76246,98344
58073,58064
80000,110748
30607,31227
36991,31094
36654,36690
109694,63539
5227,30956
61304,31418
13866,36020
85479,14222
97356,84369
4452,50059
91991,31241
92008,57805
47011,44345
90188,40573
107332,84594
27524,17756
105783,54891
83033,12174
11692,11077
1938,49140
81160,82535
81629,31018
45535,54875
6054,90582
65343,8330
7037,110655
41287,100812
21923,4485
91783,46778
15758,107093
97079,54399
11268,36033
79567,55053
96900,29724
67237,18896
101331,12960
104635,61521
64809,103471
6041,53188
96239,12527
46359,95483
80771,54376
29928,92425
74863,95533
42455,97918
42061,3389
37434,39564
81450,72266
31345,100940
10229,46351
245,13891
76459,95554
63595,82711
10482,10470
67290,14869
4600,39653
60902,110488
15377,82084
42505,90561
48384,76656
68809,71771
83548,10734
52279,37615
107291,91633
21565,81174
92515,8334
68305,81447
42107,21948
82592,9595
39504,23357
49767,64639
78829,94385
49985,49988
4570,1449
60761,27996
13076,13077
82559,19545
42771,42770
38562,43880
68729,100895
36287,98419
81227,32359
70417,70419
4028,52638
8277,98613
24431,85709
67197,103543
106164,41865
93679,46990
49839,47514
37703,74984
87158,61763
80140,35908
39886,76906
45990,93613
69462,35302
34127,109470
21136,10563
21802,33841
73162,41770
8431,41966
112305,100046
14749,111952
84366,75179
108853,10693
71426,57819
112383,78958
35605,81947
101541,31702
14794,71157
35681,101235
52918,9124
85463,104995
7292,7279
106190,100240
23041,54751
42962,15597
39908,97538
60865,28616
23117,24265
17665,43087
24806,102840
16928,19183
8748,78657
11018,22523
27803,14950
99603,44023
3894,77818
67067,95671
95163,104845
62959,18838
75323,86882
80076,95127
13287,105604
34782,56735
70158,26214
41814,41813
74576,50178
46570,35299
65433,51097
75551,110299
91103,16767
81728,42288
18294,13065
71675,44049
108030,33333
86868,106251
96175,34281
66738,75447
27766,27771
12188,12350
94241,105437
92291,69940
29795,89013
47369,43547
37369,37370
46948,65276
106675,1092
105182,82901
38552,99074
66147,112825
46419,60152
9648,10944
28605,88459
89066,101507
34026,88085
31360,47034
87260,101436
59322,77135
57085,77091
104021,12740
99623,52369
10837,18574
40118,42697
13944,73183
21930,92720
30323,67952
103980,39135
96862,27154
84608,12171
53302,68175
52375,44782
50602,112109
74748,35959
113578,19389
30828,25278
104056,41423
41717,41232
44663,50070
60971,53753
65069,65076
37910,110173
61394,98222
81147,79573
44978,43543
70838,20318
73775,56620
42936,46397
40927,34915
2583,6588
43589,110131
10213,36919
82775,100162
49691,4352
73205,29908
21372,67963
24347,82689
5466,22421
38833,22773
111867,54906
29328,2872
96684,27258
51832,15440
85992,66122
4423,5489
95836,29355
83227,55420
96766,38493
87216,44588
79292,2707
4808,90366
17220,89411
34672,10200
53595,24430
10785,22212
31875,47905
32343,75154
145,28069
65438,50911
20487,28350
48504,8402
51803,82308
8333,70442
72365,67171
75840,69063
65823,78568
20285,102079
85073,38935
14337,5041
36558,107094
1533,82266
49626,98934
75022,36902
91969,17294
14595,100626
84944,67624
22025,81292
68407,88346
57317,57318
72246,49531
99150,7281
81080,77682
5922,91750
96411,87094
83183,57910
14391,111070
21494,21495
35182,42199
89623,88455
49341,73799
68938,109291
70203,70202
48653,48651
91441,51002
30547,33299
17858,11892
28573,97039
82085,14449
3941,9106
35614,94123
46468,49901
93978,79175
54130,102430
9077,79949
25246,46746
112638,50199
93591,88466
91851,16634
97480,97882
44962,48876
56916,27935
111773,601
45342,5662
92954,78040
26415,26884
47518,97455
56915,3893
65800,18649
7622,660
75439,88867
58718,64083
21782,45244
23041,26484
64420,24384
56657,860
61880,8879
106119,92068
64657,78290
59382,11290
53453,94250
64657,88609
92948,77525
68377,59628
84519,39219
15706,52511
70095,91585
47180,97594
108791,22952
42260,5851
18838,95160
105573,85792
72691,53687
3802,43274
110617,30116
38300,50851
1692,35239
53971,56453
57784,87771
12430,14342
40928,35647
13697,11928
16992,88448
57310,33823
28756,55066
95744,42325
13508,73275
62528,27702
53384,46538
38019,9855
10154,108095
43502,43597
22809,35517
45306,82284
59849,104510
66352,74976
81810,42913
84324,12905
12321,12322
51539,51189
73867,69924
42620,47852
70753,101855
73868,110974
21873,76346
79849,38194
85574,41788
107916,35628
63292,88351
15777,16775
93679,51056
45455,43713
99185,38600
7339,6942
50369,32350
23289,108905
86497,76612
110766,95227
75931,93026
75763,25323
37690,66925
57412,110950
76599,89947
37992,39260
956,940
61664,86540
46010,67360
10244,6312
92200,69693
64657,88609
74287,18154
22358,98937
112753,61347
34306,35782
106970,44340
57877,48502
9094,85718
46372,28985
107862,87761
72291,62243
59259,19966
20502,9921
99647,76177
47161,30547
86826,53914
13327,7963
81172,12231
11083,11405
92066,91509
80078,103640
92930,23024
17726,98420
33525,97558
77005,66387
100177,57940
101335,14032
43480,40233
82967,74947
44255,97585
104503,39362
8385,63855
8512,82231
11367,11369
40916,81141
103033,25152
83509,66041
49652,3312
42834,73357
76831,91214
63066,76505
7118,103884
94706,35908
70560,93399
81053,38194
13018,66167
30902,39712
110024,46036
103279,88915
3325,69319
46936,104818
10300,7476
26307,5490
102899,99489
32046,31477
7336,83871
29581,46553
7592,43082
40079,14147
52736,65198
16302,60359
34571,7980
95503,15691
47242,110076
14,7681
108905,73970
11,76508
96177,3204
59797,47777
55509,56145
53200,100290
91522,113347
83986,6824
60337,99312
49010,66571
84588,42108
52965,31285
90899,26754
32190,32187
67283,36955
22626,72602
933,53462
18552,42611
12198,84284
63726,51597
90397,3685
54750,106708
65202,89824
50758,13726
29763,40670
70828,91115
18271,76906
103066,43029
35888,7931
108891,1342
64836,64837
9159,42634
73206,3836
40812,33366
15508,36310
103794,35084
49680,44967
49368,16314
95073,55468
98082,44383
32095,92298
106781,94610
84179,42853
39400,7725
104935,4485
46622,46618
80152,43398
90011,55453
87827,46367
79637,78528
10943,1800
40003,37437
43480,40233
54393,60583
88880,29753
6506,72164
96458,83057
113091,65360
107247,82024
41052,39349
37948,35824
56940,67387
31844,11724
84059,37570
62772,82548
71995,113459
46309,75670
13626,81087
99032,47954
91408,12006
107239,67682
105715,103175
11330,79138
17092,27574
27766,82229
25560,110755
12140,107427
55890,108062
81030,93545
84079,22663
105357,106901
56595,34103
83656,29931
73140,36203
85936,39005
96193,56725
3533,96135
32656,32655
37098,66046
108642,87376
49495,93961
99776,68242
29922,79927
513,11302
2134,17761
2807,27613
108227,26436
100125,71407
91648,6831
86722,85260
87726,103462
64965,64961
87979,103835
26359,80992
23681,23680
110025,62206
90241,36090
105477,77431
60102,79669
41185,111483
103628,102246
71374,31332
16232,56037
37571,40112
26261,25359
10291,9058
22210,41628
87275,68172
11480,107055
96658,8776
41185,111483
92808,17170
98794,86485
54639,84715
79285,60756
75472,80075
27973,4443
59978,87109
12037,113080
27373,29094
87024,26699
2463,2470
88938,25159
37549,34196
110332,30217
73989,63459
81750,60772
58745,57174
74839,53050
98154,48413
77455,53515
104062,89924
4838,80769
66285,27708
7445,105728
56916,27935
94808,47589
49501,23137
1801,71064
48303,81381
20257,104974
51220,93806
106018,59128
3324,44653
33985,104049
58971,78032
109740,33764
72682,5259
39326,82176
101532,8132
99994,9823
49600,3039
84444,40147
49146,49141
5044,66289
48137,84912
104983,54645
5876,105960
3145,77008
94731,8296
41480,45477
23936,37854
30193,30192
28215,95443
90292,59521
16012,16006
17479,43121
89785,48749
43408,32385
108752,39759
110252,73252
46373,25607
12078,88346
56302,56296
109794,86008
40352,38104
54904,11404
7551,70155
30198,66665
28798,28799
64657,78290
103178,23586
362,17944
56174,36348
46131,76891
51497,35853
53090,84721
21160,78633
110617,82541
95241,30862
80974,34303
40970,76002
43733,77008
87726,103462
1580,110708
48257,78135
90061,39703
95767,82029
21734,103493
90922,9544
36722,14142
81633,102323
107500,34908
7038,82211
79540,27389
35030,35032
53101,111816
111464,65723
91980,35808
50729,22959
100339,85314
26602,1876
82229,57998
87306,41817
36777,73149
83707,38282
70205,100502
21115,34495
84469,69531
76172,39334
30458,30908
107291,6183
82216,105616
97986,26231
76480,38304
85,16738
16916,108633
37160,85407
57886,12984
69676,13102
38062,81815
23430,42456
38059,12433
35263,22545
61915,67909
17426,77803
110380,60337
94107,77583
27360,57256
16348,23782
28440,35006
2278,87667
23213,88770
96741,40636
92800,18995
24994,100833
101431,89792
58746,81734
1280,15360
81750,90303
90289,8810
49313,5852
38954,108027
9337,42222
60109,59898
95959,110915
87200,18272
85277,98913
50893,50024
5303,5497
92316,70488
89842,98551
32090,42684
86616,75042
81973,21870
3522,6785
18294,13065
49327,18481
54892,71049
27226,26753
80974,26907
57852,57854
10815,73014
69295,97684
2331,77981
101203,82747
60174,44791
108833,16329
52445,9755
95367,77777
33813,15599
88157,91187
103160,98677
22160,44238
28715,86309
109740,33764
1866,71162
79815,29929
45354,15009
11178,76139
104799,88993
27782,27774
11833,83707
39121,20348
35394,39703
102209,107018
81587,56156
16703,18231
2923,64354
33198,68163
32513,21469
63223,71316
45630,18756
87580,68021
75995,53193
90998,35486
83424,20137
94367,86385
62632,44440
23068,89912
26001,74858
54722,88518
53419,10503
57988,57987
43394,43480
87478,85821
54887,31314
103463,100218
61076,111608
27832,18470
113285,3310
73280,90834
9978,107773
24951,65823
880,67902
99302,75789
84998,102129
30740,17232
21145,53056
100570,2324
87606,52410
43573,109515
25464,36507
14865,112002
75694,61227
96,24627
63988,34721
86173,54984
64657,78290
86556,34767
24610,51787
112523,44207
94826,111495
33945,75696
36937,35096
36233,38433
73853,109315
82105,420
80154,46174
68354,41010
47853,105217
63111,559
34931,34930
34450,27033
79292,58460
68957,79471
99309,38963
5418,5412
93003,73577
32183,70557
93743,11584
102502,88448
111841,82958
98474,65070
48377,103948
23088,6301
111746,19792
4045,84112
32506,52223
44736,92594
79039,53104
26533,64888
24094,27805
80755,62629
103670,71886
113118,34962
58541,72009
76659,57253
74507,112372
26039,44678
72747,99722
82541,7604
70611,14178
67026,74979
92800,15520
15471,14854
15059,87079
8399,93893
74981,95198
102771,38083
47328,56705
104356,43120
69462,22759
97418,63274
17835,74129
16100,10694
50729,24709
27317,12161
18142,28709
23864,91302
74519,21616
8452,83667
87710,27326
22552,45134
78627,93034
34647,95765
97521,53193
49685,18810
75599,77091
12752,12754
54076,98443
107385,59290
92719,47304
24235,82006
70304,50003
5054,27666
99373,107271
36934,8359
59603,107789
70623,35410
96094,51272
89762,92824
25071,95516
54518,75715
21703,33564
86368,55250
91190,100662
99894,57097
81160,56186
99812,11210
33309,37525
103996,66660
88441,100559
104629,60679
7038,19714
55721,45334
36083,99300
27716,84948
99945,84422
54770,22433
78454,32703
3777,2673
57927,26018
74988,17730
74659,99018
88753,57511
59975,32731
74762,73801
25342,112744
58681,68043
52690,82990
88796,35116
18253,541
62289,27737
1411,85271
1808,79756
29277,29259
11313,75343
6506,73323
50919,16733
44709,82912
5939,92944
104518,84253
701,42885
33291,31996
81957,85975
3771,3766
86944,17832
10338,13028
618,52736
74059,109285
88333,46402
1074,107286
82961,9823
39458,22457
113281,23292
96122,68382
71558,35959
91980,22876
53284,1080
21863,109735
27867,49570
40618,40424
105783,54891
107295,64309
83826,2878
52567,76709
91191,47992
84565,79946
35524,35497
36859,24940
60713,40690
107018,97939
19512,9409
50227,63047
97476,59978
92573,45570
60721,11451
94517,99096
84596,112151
41092,111483
40567,39748
72058,42332
56286,90429
43547,43551
8352,107276
38564,34135
22853,94407
76960,96332
32973,32978
105741,43328
15096,89793
46327,48578
108145,18471
88149,75115
38187,91643
43303,103909
103520,17707
72428,110040
31079,109644
92722,78447
25322,33795
28734,72693
98320,85921
103155,72740
145,59580
96699,40766
24251,24252
13149,78360
48842,48843
87239,55535
65061,65048
77088,110012
49200,61783
3348,25619
52345,20917
45222,7059
111070,14742
14960,81896
95062,11262
24766,24767
6254,6232
68888,51232
1878,16636
14904,48220
60548,99872
84044,17976
66500,44616
45482,5368
100254,17000
27574,38358
24421,89108
90955,83245
42922,55618
57990,67126
25,19812
19859,93874
20927,27689
93263,49645
16899,16896
79872,82778
17829,13420
113502,4043
102729,105201
91200,15150
28270,13299
36442,44762
91845,8828
88252,107026
44567,110925
2396,42984
4698,78387
90723,13841
25851,12129
81177,32885
51052,57408
75048,5890
55541,92803
8972,35959
57182,13631
74495,78543
11235,17635
85824,44885
34776,14464
20689,42378
22222,21063
64083,23762
91189,98852
3825,3824
34623,93062
15328,1031
55176,110492
11470,11426
13583,103543
3592,98755
98646,62322
85524,5880
63139,108704
32243,1658
30996,109116
86520,42592
113147,112298
6821,70385
31513,33978
20034,7080
88448,13210
52979,50944
51839,76231
42649,21761
98736,85060
26077,100666
2818,37358
72082,89536
10542,45534
75577,45335
8531,32443
68969,65872
34930,42253
59884,54032
88448,94257
102936,8576
15775,2208
27894,40826
86860,15855
98723,14624
111647,21058
81926,92199
41292,71701
27399,62885
35959,8184
15865,45802
9094,76295
26885,78039
107434,101435
24094,27317
56190,56192
79857,91412
102231,34326
6149,89596
31369,108374
80221,43859
84212,103804
1699,107657
52248,55640
5303,3145
78295,61326
12624,65240
77670,35548
46411,74791
67440,392
21610,52288
31036,99935
106382,19121
19121,67894
90298,74550
12336,82830
71424,30509
42723,11530
38285,31169
67374,93765
17892,90393
37710,41274
16733,73780
107135,63423
25750,25749
7307,88448
105580,51704
14433,61464
78285,99575
104995,81128
94411,6484
16508,73960
60834,794
93142,43613
112732,33042
62660,62654
92490,81151
46361,99848
52695,87945
15743,100925
68828,29807
72877,89848
87966,70645
35143,90763
42945,42669
67878,67742
50618,99812
2870,96711
39905,98872
89955,44364
68252,61503
18505,87465
5015,47608
19833,9293
80172,72376
14465,73697
73868,108319
8021,28887
36919,10936
78490,29353
37985,108915
88662,78293
77603,82515
37640,42459
20783,41617
43098,17789
110810,12810
6060,25895
99280,60312
63128,69920
54844,59979
112394,40670
96236,108290
62288,88127
77676,66487
73890,85143
88609,78290
106901,109690
73226,9632
86384,35866
31502,72656
86595,48273
101690,106632
26554,75199
67177,95463
88027,68918
18851,75274
77670,35527
42877,41544
63030,96580
104129,5850
31458,108882
70453,97756
1116,30029
56705,56675
84819,20926
50354,112100
13314,27763
93194,100394
27608,60961
4057,104844
46352,104091
63997,74909
33496,82837
56864,437
59012,73913
16928,75599
8126,56769
62552,18945
78559,55068
94196,12103
30492,1852
14310,23066
29917,9994
94155,76649
70853,96869
72875,12677
90541,92316
4982,56168
97021,75629
91314,80972
106809,3443
49273,66299
68639,61976
82908,72149
107334,97561
33525,97558
6145,7101
72101,105985
46000,46026
103158,105459
17406,29625
52507,52961
87532,50712
49863,18375
92800,107077
2509,81492
69535,71203
79544,1931
80304,87504
30659,69271
33225,82149
21393,63090
3836,1052
3777,2673
74512,82455
24807,32311
77141,36745
79949,85527
41683,87188
68054,83300
86672,65339
33919,86944
2672,1036
70221,83159
88570,64489
23074,30264
111002,93028
70496,20452
106490,10745
15854,2905
46963,60508
1449,71039
6445,103126
97351,20691
76366,73195
57309,35640
39402,88359
87949,81321
42299,13017
62864,37138
20841,32298
78368,72084
86344,37396
25305,43904
22636,29523
85079,97364
97449,60721
96297,18908
91731,71220
79644,13995
92768,109794
6254,6232
44003,78721
82084,76100
19639,4847
35959,31003
46474,48381
88303,49383
25479,59620
106378,16186
78575,61183
66975,64166
31943,92436
99526,50733
77689,79921
100463,6813
32244,2901
74935,56285
88894,74679
61489,76134
79421,7477
81053,66170
2108,721
20202,2760
109141,63070
74148,18921
10320,11509
101964,36670
69385,6457
3132,84488
81937,108972
2860,66259
56891,56892
99358,18772
59891,86038
49463,19095
105477,77431
100586,41820
1699,92578
56627,3261
111063,38873
102300,111011
108557,60132
49410,8126
16700,16704
40089,40206
92204,21090
3996,103102
30027,73695
19121,87608
46310,89303
5000,66539
112630,24946
94525,42402
96712,46197
83487,52411
35180,12299
80059,88809
36593,98308
33123,46386
70971,80956
91376,113533
75504,95163
56593,100942
101880,12919
111177,19833
2295,58718
69713,69715
112493,51661
95795,38938
23976,24269
80728,110679
75032,56768
95849,86058
100684,54199
5532,77863
76733,53095
36890,6579
30340,30348
1252,61218
76865,73548
73713,53238
47147,71592
48074,99188
67652,83136
85253,40219
33868,75787
13533,45727
101581,106910
40538,64333
25988,15372
49545,5442
31498,53269
61361,81224
13536,101446
68459,68464
66995,26754
23400,112001
20052,43696
62612,69870
107857,22231
93,21372
60099,84087
74002,21136
57549,60500
37056,111028
60953,73574
6149,44166
42097,69759
68920,67542
11627,18600
10425,23306
10706,77948
18027,45918
14153,38254
49450,5584
10320,81965
48,84101
75396,15831
102728,21508
104372,67040
42205,71220
7929,59718
6176,34361
80444,27575
27942,6498
92291,69940
112784,73799
91277,90253
3866,44149
49289,74069
77095,88572
34688,35959
41922,34940
7734,109691
66146,32260
60657,107066
45579,37745
7589,36448
36453,52411
25231,34776
59071,87066
13110,104473
68467,68464
69490,25094
31967,1820
42033,84579
31169,78293
2134,22966
76049,89855
93853,15111
40098,98697
57678,57675
48209,67197
29050,55904
84807,101057
2871,31948
6570,12160
42325,46197
68802,60092
75207,37215
87257,72390
83320,92651
60792,74486
46050,58081
31510,103003
12871,93971
77986,55145
83871,14406
82892,70564
26878,13884
42065,34786
8459,36573
28907,71531
57998,27763
52237,82676
27099,105852
40209,102891
37914,66343
11129,16376
55649,39919
108028,40079
88042,104196
19917,80134
6645,446
106148,92199
67902,37950
84261,70217
60622,13704
15925,5518
56831,14639
43206,16423
50492,86961
52858,85694
51095,103319
61070,60077
18773,56009
69017,22552
87970,106107
11764,98891
39233,65002
66579,66574
79451,110908
16212,112305
47332,22956
50096,76070
81706,92436
109497,20046
42967,25430
26657,7696
33255,103702
58435,98218
55787,49883
20087,20090
25608,34592
1449,99302
11169,82522
85224,108538
35959,23206
40030,44394
70444,86467
28280,105986
4915,56207
37195,45206
86903,111799
56199,35742
70260,102073
64987,65029
92950,48517
110722,72076
17932,23864
86215,81424
8449,9503
62146,89157
81235,100839
74276,54008
8126,56769
79779,44430
21302,25039
53194,22916
53383,21022
11357,10018
87973,111908
108384,75258
111395,33717
29197,90825
98193,98821
20870,18886
80397,49529
42393,91391
63143,22028
26609,111743
89729,66080
53540,53543
4577,29931
66714,25061
41436,41428
98943,52835
62276,16055
86858,73525
105453,34292
21485,19746
74935,22627
66318,109351
65019,76795
83885,18559
10223,75363
65901,79391
74651,4002
49711,91609
49020,88430
